name,meaning,gender,origin
Aahan,Dawn / Morning,M,Hindi
Aala,She who hunts and heals,F,American
Aaleahya,Sunshine,F,Indian
Aaleyah,The greatest gift of God.,F,Arabic
Aalijah,The lord is god. Variant of Elijah.,F,Hebrew
Aaliyah,Ascender,F,Arabic
Aaliyah,Highly exalted.,F,Hebrew
Aamori,,F,African
Aanjay,Unconquerable,F,Indian
Aaralyn,With song,F,American
Aaric,Variant of Aric meaning rule with mercy.,M,English
Aarika,"Alternate Spelling: Erika, Erica, Ericka.",F,Unknown
Aaron,high mountain,M,Hebrew
Aaron,High mountain: Lofty or inspired. In the bible Moses' brother Aaron was Israel's first high priest and is remembered for his staff which blossomed miraculously. Popular in English speaking countries since the Protestant Reformation.,M,Hebrew
Aarshiya,Heavenly,F,Unknown
Aart,like an eagle,M,Anglo
Aart,Like an eagle,M,Anglo-Saxon
Aarthi,Way of offering prayer to god,F,Indian
Aarush,First ray of sun.,M,India
Aarushi,First ray of the sun.,F,Indian
Aase,tree-covered mountain AEGILEIF,F,Norse
Aashish,Blessing.,M,Hindu
Aashka,Blessing,F,Indian
Aasiya,"derived from the arabic verb, to abound, and means abundant, flourishing, thriving, prosperous",F,Unknown
Aaylah,Light bearer,F,Unknown
Abagail,Gives Joy.,F,Hebrew
Abaigael,Gives joy,F,Hebrew
Abaigeal,Gives joy,F,Hebrew
Aballach,father of Modron,M,Arthurian
Aballach,Father of Modron,M,Arthurian Legend
Aban,old Arabic name; meaning unknown,M,Arabic
Abantiades,descendant of Abas ABAS,ABASANTIS,M,Latin
Abarrane,Feminine form of Abraham father of many,F,Hebrew
Abarrane,feminine form of Abraham, &quot;father of many.&quot;Variant, Abame, exists.,F,Hebrew
Abarrane,Feminine form of Abraham, from Hebrew.&quot;Father of many.&quot;,F,Basque
Abarron,Father of a multitude,M,Hebrew
Abasi,stern,M,Egyptian
Abasi,Swahili name meaning &quot;stern.&quot;,M,African
Abayomi,brings joy,M,Egyptian
Abayomi,Of uncertain African origin.Means &quot;born to bring me joy.&quot;,M,African
Abba,Father,M,Arabic
Abba,Ghanaian name for females born on Thursday.,F,African
Abban,Abbot,M,Irish
Abban,abbot ABRACHAM, BRAM,M,Irish
Abbas,Lion,M,Arabic
Abbey,My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.,F,Hebrew
Abbie,"Gives joy, My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.",F,Hebrew
Abbigale,,F,Unknown
Abboid,abbey father,M,Gaelic
Abbot,Abbey father,M,English
Abbot,Father,M,Hebrew
Abbotson,Son of Abbot,M,Hebrew
Abbott,Abbey father,M,English
Abbott,Father,M,Hebrew
Abbud,worshipper,M,Arabic
Abbudin,worshippers,M,Arabic
Abby,My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.,F,Hebrew
Abd Al Alim,Servant of the all knowing,M,Arabic
Abd Al Bari,Servant of Allah,M,Arabic
Abd Al Hakim,Servant of the wise,M,Arabic
Abd Al Jabbar,Servant of the mighty,M,Arabic
Abd Al Matin,Servant of the strong,M,Arabic
Abd Al Qadir,Servant of the capable,M,Arabic
Abd Al Rashid,Servant of the guided,M,Arabic
Abd Al Sami,Servant of the all hearing,M,Arabic
Abd Er Rahman,Servant of the merciful one,M,Arabic
Abda,servant,M,Arabic
Abdalla,Swahili equivalent of Arabic, ABDULLAH, &quot;servant of God.&quot;,M,African
Abdalrahman,Servant of the merciful one,M,Arabic
Abdel,Servant,M,Arabic
Abdelahi,Muslim name, popular in Somalia. Meaning unknown.,M,African
Abdera,from Abdera,F,Greek
Abderus,myth name (a friend of Hercules),M,Greek
Abdi,Muslim name, popular in Somalia, meaning &quot;my servant.&quot;,M,African
Abdikarim,Muslim name, popular in Somalia, meaning &quot;slave of God.&quot;,M,African
Abdimelech,Name of an Aethiopian eunuch who lived in ancient Rome.Name means &quot;servant to kings.&quot; Could be shortened to ABDI or MELECH.,M,African
Abdiraxman,Somali equivalent of Muslim, ABD AL RAHMAN, meaning &quot;servant of the Mercifully Gracious.&quot;,M,African
Abdul,Servant of God,M,Arabic
Abdul- Matin,servant of the strong one,M,Arabic
Abdul- Qadir,servant of the capable and powerful one,M,Arabic
Abdul- Rashid,servant of the guided one,M,Arabic
Abdul- Sami,servant of the all-hearing,M,Arabic
Abdul, Abdel,servant of,M,Arabic
Abdul-Alim,servant of the omniscient,M,Arabic
Abdul-Aliyy,servant of the most high,M,Arabic
Abdul-Azim,servant of the mighty,M,Arabic
Abdul-Aziz,servant of the powerful one,M,Arabic
Abdul-Bari,servant of the Creator,M,Arabic
Abdul-Basit,servant of the extender,M,Arabic
Abdul-Fattah,servant of the opener of the gates of sustenance,M,Arabic
Abdul-Ghaffar, Abdul-Ghaf,servant of the forgiver,M,Arabic
Abdul-Hadi,servant of the guide,M,Arabic
Abdul-Hafiz,servant of the protector,M,Arabic
Abdul-Hakam,servant of the arbitrator,M,Arabic
Abdul-Hakim,servant of the wise one,M,Arabic
Abdul-Halim,servant of the mild and patient one,M,Arabic
Abdul-Hamid,servant of the praised one,M,Arabic
Abdul-Haqq,servant of the truth,M,Arabic
Abdul-Hasib,servant of the respected and esteemed one,M,Arabic
Abdul-Jabbar,servant of the mighty,M,Arabic
Abdul-Jalil,servant of the great and revered one,M,Arabic
Abdul-Karim,servant of the noble and generous one,M,Arabic
Abdul-Khaliq,servant of the Creator,M,Arabic
Abdulla,Servant of God.,M,Arabic
Abdullah,Servant of God,M,Arabic
Abdullah, Abdul,servant of God,M,Arabic
Abdul-Latif,servant of the kind one,M,Arabic
Abdul-Majid,servant of the glorious one,M,Arabic
Abdul-Malik,servant of the master or king,M,Arabic
Abdul-Muhaimin,servant of the supervisor/guardian/protector,M,Arabic
Abdul-Mu'izz,servant of the giver of might and glory,M,Arabic
Abdul-Mujib,servant of the responder,M,Arabic
Abdul-Muta'al,servant of the most high,M,Arabic
Abdul-Nasir,servant of the helper/protector,M,Arabic
Abdul-Nasser,servant of the victorious one,M,Arabic
Abdul-Qahhar,servant of the subduer/almighty,M,Arabic
Abdul-Quddus,servantof the most holy,M,Arabic
Abdul-Rafi,servant of the one who raises and elevates the intellect/esteem,M,Arabic
Abdul-Rahim,servant of the most compassionate one,M,Arabic
Abdul-Rahman,servant of the merciful one,M,Arabic
Abdul-Rahman, Abdalrahman,servant of the merciful one,M,Arabic
Abdul-Ra'uf,servant of the most merciful one,M,Arabic
Abdul-Razzaq,servant of the maintainer/provider,M,Arabic
Abdul-Sabur,servant of the patient one,M,Arabic
Abdul-Salam,servant of the peace,M,Arabic
Abdul-Samad,servant of the eternal,M,Arabic
Abdul-Shakur,servant of the most thankful,M,Arabic
Abdul-Tawwab,servant of the forgiver,M,Arabic
Abdul-Wadud,servant of the loving,M,Arabic
Abdul-Wahhab,servant of the giver,M,Arabic
Abdul-Wahid,servant of the one,M,Arabic
Abeba,Ethiopian female name meaning &quot;flower.&quot;,F,African
Abebe,Amharic of Ethiopia name meaning &quot;he has flowered/flourished/grown.&quot;,M,African
Abebi,Yoruba of Nigeria female name meaning &quot;we asked and got her&quot; or &quot;we asked for her and she came to us.&quot;,F,African
Abedabun,Cheyenne name meaning &quot;sight of day.&quot;,F,Native
Abedabun,Sight of day (Chippewa),F,Native American
Abeer,Fragrance.,F,Arabic
Abegayle,Gives joy,F,Hebrew
Abel,Biblical name meaning Son or Breath. Abel was the son of Adam and Eve who was killed by his brother Cain in a fit of jealousy.,M,Hebrew
Abel,breath,M,Hebrew
Abel,breath,M,Romanian
Abelard,Resolute,M,German
Abelard,allard,alard,resolute ADAL,ADEL,M,Teutonic
Abelia,&quot;Breath, sigh.&quot; From Hebrew feminine form of Abel. Variants include Abelle and Abella.,F,French
Abelia,&quot;Sigh; breath.&quot;Variants include Abelie, Abella, and Abelle.,F,Hebrew
Abell,Exhalation of breath. The second son of Adam in the bible. The variant Able is used as an English surname.,M,Hebrew
Abella,Breath,F,French
Abellona,Danish form of Greek Apollonia, the feminine form of Apollo, name of the sun god.,F,Danish
Abena,Akan of Ghana name for females born on Tuesday.,F,African
Abeodan,announce,M,Anglo
Abeodan,Announce,M,Anglo-Saxon
Abequa,Cheyenne name meaning &quot;stays at home.&quot;,F,Native
Abequa,Stays at home (Chippewa),F,Native American
Abeque,Stays at home (Chippewa),F,Native American
Aberfa,from the mouth of the river ABERTHA,F,Welsh
Aberthol,sacrifice AB-OWEN,M,Welsh
Aberto,Italian form of Albert (noble),M,Italian
Abetzi,Omaha name meaning &quot; yellow leaf.&quot;,F,Native
Abey,Omaha name meaning &quot; leaf.&quot;,F,Native
Abeytu,Omaha name meaning &quot; green leaf.&quot;,F,Native
Abhainn,River,M,Scottish
Abhainn, Aibne,river ACAIR, AKIR, ACAISEID,M,Scottish
Abhaya,has no fear,M,Indian
Abhimanyu,myth name (killed by Lakshmana),M,Indian
Abhirati,myth name (mother of five hundred children, a mother goddess),F,Indian
Abhy,Gives joy,F,Hebrew
Abia,Great,F,Arabic
Abiageal,Irish form of Abigail (brings joy) ADARA, ATHDARA,F,Irish
Abiageal,Irish form of Abigail brings joy,F,Irish
Abiah,my father is the Lord,M,Hebrew
Abichail,Gives joy,F,Hebrew
Abida,&quot;She who worships&quot;; also a Hebrew name meaning &quot;my father knows.&quot;,F,Arabic
Abida,God knows,M,Hebrew
Abiel,my father is God,M,Hebrew
Abigail,&quot;Father rejoices.&quot;Some variants include Abagail, Abaigeal, Abbey, Abbie, and Abby. Diminutive, Gail, also exists.,F,Hebrew
Abigail,Gives joy: My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.,F,Hebrew
Abigall,"Fathers joy. Alternate Spellings: Abegale, Abgail, Abigale.",F,Hebrew
Abijah,&quot;God is my father.&quot; Variants include Abisha, and Abishah.,F,Hebrew
Abijah,the Lord is my father,M,Hebrew
Abimelech,Father is king,M,Hebrew
Abimelech,my father is king,M,Hebrew
Abir,Arabic name meaning &quot;fragrant; scent.&quot;Variant, Abeer, exists.,F,Arabic
Abir,Arabic: The fragrant one. Hebrew: Strong.,M,"arabic,hebrew"
Abir,Fragrant,F,Arabic
Abir,Strong,M,Hebrew
Abiram,Father of heights,M,Hebrew
Abisha,gift of God.Variants include Abijah, and Abishai,M,Hebrew
Abisha,The Lord is my father,M,Hebrew
Abital,&quot;My father is dew.&quot; Variant, Avital, exists.,F,Hebrew
Abjaja,born of a lotus,M,Indian
Ablah,perfectly formed,F,Arabic
Able,Exhalation of breath. The second son of Adam in the bible. The variant Able is used as an English surname.,M,Hebrew
Ablendan,blind,M,Anglo
Ablendan,Blind,M,Anglo-Saxon
Abner,father of light,M,Hebrew
Abner,Father of light. In the bible King Saul's cousin and commander of his army. Abner was a valiant warrior and clever strategist.,M,Hebrew
Abooksigun,Algonquin name meaning &quot; wildcat.&quot;,M,Native
Abooksigun,Wildcat (Algonquin),M,Native American
Abra,&quot;Example; lesson.&quot;Also a Hebrew name meaning &quot;parent of many.&quot;Variants include Abame, Abarrane, and Abrahana.,F,Arabic
Abra,&quot;Parent of many.&quot;Also an Arabic name meaning &quot;example; lesson.&quot;Variants include Abame, Abarrane, and Abrahana.,F,Hebrew
Abra,Lesson,F,Arabic
Abra,Mother of many,F,Hebrew
Abracham,Irish form of Abraham,M,Irish
Abracomas,name of a governor; meaning unknown,M,Aramaic
Abrafo,Ghanaian name meaning &quot;warrior&quot; or &quot;executioner.&quot;It is a nickname for a troublemaker or someone who is hyper.,M,African
Abraha,meaning unknown,M,Arabic
Abraham,father of a multitude.Variants include Avraham, Aram, Abarron, and Avidor,M,Hebrew
Abraham,Meaniing Father of a multitude Abraham the first of the Old Testament patriarchs. God changed it from Abram when He appointed him to be the father of the Hebrew nation.,M,Hebrew
Abram,Exalted father. The biblical patriarch Abraham's name before God changed it.,M,Hebrew
Abram,He who is high is father.Variants include Abe, Abey, Abie, Abramo, Avram, Avrom and Bram,M,Hebrew
Abramo,Father of a multitude,M,Hebrew
Abramo,Italian form of Abraham (father of many),M,Italian
Abran,Variant of Abram meaning Exalted father.,M,Spanish
Abrecan,storm,M,Anglo
Abrecan,Storm,M,Anglo-Saxon
Abriana,Variant of Italian.,F,Italian
Abrianna,Mother of many nations.,F,Unknown
Abriell,Variant of Gabrielle.,M,Unknown
Abrihet,Tigrinya of Ethiopia female name meaning &quot;she has made it light, she emanates light.&quot;,F,African
Abril,The month April: symbolizes spring.,F,Spanish
Absalom,father is peace,M,Hebrew
Absalom,Father of peace. In the bible Absalom son of King David was renowned for handsome appearance and ability to win loyalty and allegiance.,M,Hebrew
Absyrtus,myth name (brother of Medea),M,Greek
Abu Al Khayr,one who does good,M,Arabic
Abu Bakr,Companion of Muhammad,M,Arabic
Abubakar,noble,M,Egyptian
Abukcheech,Algonquin name meaning &quot; mouse.&quot;,M,Native
Abukcheech,Mouse (Algonquin),M,Native American
Abydos,from Abydos,M,Greek
Acacia,&quot;Resurrection&quot; or &quot;guileless.&quot;Name of a blossoming tree that symbolizes rebirth. Some variants are Cacia, Cacie, Casey, Cassie, Cassy, Kacia, Kacie, Kacey, Kassie, and Kassy.,F,Greek
Acacia,&quot;thorny.&quot;,F,African
Acacia,Honorable. Biblical: acacia wood was used to build the wilderness Tabernacle.,F,Spanish
Academia,named for Ciceros villa ACARNANIA,F,Latin
Acair,Anchor,M,Scottish
Acaiseid,Anchor,M,Scottish
Acantha,thorn,F,Greek
Acastus,myth name (an Argonaut),M,Greek
Acca,&quot;From Acca.&quot;,F,Anglo
Acca,From Acca,F,Anglo-Saxon
Accalon,lover of Margan le Fay (fifteenth century),M,Arthurian
Accalon,Lover of Morgan le Fay,M,Arthurian Legend
Ace,A nickname given to one who excels: also an English surname meaning noble.,M,English
Ace,unity,M,Anglo
Ace,Unity,M,Anglo-Saxon
Acel,Adherent of a nobleman,M,French
Aceline,&quot;Noble, highborn.&quot; Variant Asceline exists.,F,French
Aceline,Noble,F,French
Acennan,brings,M,Anglo
Acennan,Brings,M,Anglo-Saxon
Acestes,myth name,M,Greek
Acey,Unity,M,Anglo-Saxon
Achaius,Friend of a horse,M,Scottish
Achak,Algonquin name meaning &quot; spirit.&quot;,M,Native
Achak,Spirit (Algonquin),M,Native American
Achan,Dinka of south Sudan name for a female child in the first pair of twins.,F,African
Acharya,spiritual teacher,M,Indian
Achates,myth name (companion of Aeneas),M,Greek
Achcauhtli,unisexual name meaning &quot;leader.&quot;,F,Nahuatl
Achcauhtli,unisexual name meaning &quot;leader.&quot;,M,Nahuatl
Acheflour,white flower,F,Arthurian
Acheflow,White flower,F,Arthurian Legend
Achelous,myth name (a river god),M,Greek
Acheron,myth name (river of woe),M,Greek
Achilles,lipless,M,Greek
Achir,new,M,Indian
Acim,&quot;The Lord will judge.&quot;,M,Hebrew
Acima,Feminine form of Acim, &quot;the Lord will judge.&quot;Variants include Acimah, Achima, and Achimah.&quot;,F,Hebrew
Acis,myth name (lover of Galatea),M,Greek
Acker,from the oak tree,M,English
Ackerley,Dweller at the acre meadow,M,English
Ackerley,from the oak-tree meadow,M,English
Ackerman,man of oak,M,English
Ackley,Dwells at the oak tree meadow,M,English
Acolmixtli,meaning unknown,M,Nahuatl
Aconteus,myth name,M,Greek
Acrisius,myth name (grandfather of Perseus),M,Greek
