"[Code]|[ETSNGClass]|[ETSNGID]|[GNG2004]|[MVN]|[Name]" 
011005|2|2|10019000|г/п|Пшеница
012008|2|3|10020000|г/п|Рожь
013000|2|4|10040000|53|Овес
014003|2|5|10030000|г/п|Ячмень
015006|2|6|10059000|г/п|Зерно кукурузы
016009|2|7|10059000|53|Початки кукурузы
017001|2|8|10060000|г/п|Рис
017016|2|9|10061000|г/п|Рис нешелушеный (рис-сырец)
017020|2|10|10062000|г/п|Рис шелушеный (неполированный рис)
017035|2|11|10063000|г/п|Рис прочий
018004|2|12|99999900|г/п|Прочие зерновые
018019|2|13|10081000|г/п|Гречиха
018023|2|14|07135000|г/п|Зерно бобов
018038|2|15|07131000|г/п|Зерно гороха
018042|2|16|07133300|г/п|Зерно фасоли
018057|2|17|10089090|г/п|Зерновые,не поименованные в алфавите
018061|2|18|23024090|г/п|Зерноотходы
018076|2|19|07132000|г/п|Нут
018080|2|20|10089000|г/п|Полба
018095|2|21|10082000|г/п|Просо
018108|2|22|10089000|г/п|Смесь зерновая
018112|2|23|11071099|г/п|Солод в зерне
018127|2|24|10070000|г/п|Сорго (гаолян,джугара и др.)
018131|2|25|07089000|г/п|Чечевица
018146|2|26|10089000|г/п|Чина
018150|2|27|10089000|г/п|Чумиза
021007|2|28|99999900|43|Семена технических культур,кроме семян хлопчатника
021011|2|29|12079190|43|Головки маковые с зерном
021026|2|30|12071010|43|Зерна пальмовые
021030|2|31|12079100|43|Зерно мака
021045|2|32|12079998|43|Семена кенафа
021054|2|33|12079991|43|Семена конопли
021064|2|34|12074010|43|Семена кунжута
021079|2|35|12040010|43|Семена льна
021083|2|36|12079920|43|Семена масличных культур,не поименованные в алфавите
021098|2|37|12060010|43|Семена подсолнечника
021100|2|38|12010010|43|Семена сои
021115|2|39|09095000|43|Семена фенхеля
021120|2|40|09092000|43|Семя кориандровое (кишнец)
021134|2|41|12060010|43|Шапки подсолнечника с семенами
021149|2|42|12073010|43|Семена клещевины
022007|2|43|12072010|35|Семена хлопчатника
023002|2|44|12091000|26|Семена свеклы сахарной
024005|2|45|99999900|29|Семена прочие
024012|2|46|12099910|29|Желуди сушеные и сырые
024024|2|47|12092200|29|Семена клевера
024039|2|48|12092900|29|Семена кормовых трав,не поименованные в алфавите
024043|2|49|12119000|29|Семена лекарственных культур
024058|2|50|12092950|29|Семена люпина
024062|2|51|12092100|29|Семена люцерны
024077|2|52|12099190|29|Семена овощных и бахчевых культур
024081|2|53|12099999|29|Семена табака
024096|2|54|12092600|29|Семена тимофеевки
024109|2|55|09094000|29|Семена тмина
024113|2|56|12099190|29|Семена тыквы
024128|2|57|12093000|29|Семена цветочных культур
024132|2|58|12099991|29|Семена чая
024147|2|59|12099900|29|Споры грибов шампиньонов
031009|2|60|52010010|34|Хлопок-сырец
041000|2|61|99999900|28|Овощи свежие
041015|2|62|07091000|28|Артишок свежий
041022|2|63|07093000|28|Баклажаны свежие
041034|2|64|07089000|28|Бобы овощные свежие
041049|2|65|12149010|28|Брюква свежая
041053|2|66|07081000|28|Горох овощной свежий
041068|2|67|07095900|28|Грибы,в том числе шампиньоны,свежие
041072|2|68|07069090|28|Корнеплоды свежие,не поименованные в алфавите
041087|2|69|07099070|28|Кабачки свежие
041091|2|70|07049000|28|Капуста свежая
