[FullName]|[OKATOTypeID]|[ShortName]
не известно|0|нет
область|1|обл
республика|2|респ
город федерального значения|3|г.ф.з.
автономный округ|4|а.о.
район|5|р-н
городской район|6|г. р-н
город|7|г
поселок городского типа|8|пгт
рабочий поселок|9|рп
курортный поселок|10|кп
кишлак|11|к
поселковый совет|12|пс
сельсовет|13|сс
сомон|14|смн
волость|15|вл
дачный поселковый совет|16|дп
поселок сельского типа|17|пст
населенный пункт|18|нп
поселок при станции (поселок станции)|19|п. ст
железнодорожная станция|20|ж/д ст
железнодорожная будка|21|ж/д будка
железнодорожная казарма|22|ж/д казарма
железнодорожная платформа|23|ж/д платформа
железнодорожный разъезд|24|ж/д рзд
железнодорожный остановочный пункт|25|ж/д остановочный пункт
железнодорожный путевой пост|26|ж/д путевой пост
железнодорожный блокпост|27|ж/д блокпост
село|28|с
местечко|29|м
деревня|30|д
слобода|31|сл
станция|32|ст
станица|33|ст-ца
хутор|34|х
улус|35|у
разъезд|36|рзд
колхоз|37|клх
поселок|38|п
совхоз|39|свх
зимовье|40|зим
округ|41|о
сельский округ|42|со
районный округ|43|ро
муниципальный округ|44|мо
городской округ|45|го
сельская администрация|46|са
поселение|47|п-ние
станичный округ|48|ст. о
автономная область|49|а.обл.
край|50|кр
наслеги|51|н-ги
город областного подчинения|52|гоп
