[Code]|[ControlNumber]|[Name]|[OKPID]
01 0000|2|ЭЛЕКТРОЭНЕРГИЯ, ТЕПЛОЭНЕРГИЯ, ВОДА, ЛЕД, ХОЛОД|1
01 1000|5|Электроэнергия|2
01 1100|9|Электроэнергия, произведенная электростанциями общего пользования и блок-станциями|3
01 1101|4|Электроэнергия, произведенная электростанциями *|4
01 1102|9|Электроэнергия, произведенная ГЭС (общего пользования и блок-станциями) *|5
01 1110|3|Электроэнергия, произведенная / электростанциями общего пользования|6
01 1111|9|- КЭС общего пользования|7
01 1112|4|- ТЭЦ общего пользования|8
01 1113|2|- ГТЭС общего пользования|9
01 1114|5|- ДЭС общего пользования|10
01 1116|6|- АЭС общего пользования|11
01 1117|1|- ГЭС общего пользования|12
01 1118|7|- ГАЭС общего пользования|13
01 1119|2|- нетиповыми электростанциями общего пользования|14
01 1120|8|Электроэнергия, произведенная блок-станциями /|15
01 1121|3|- КЭС|16
01 1122|9|- ТЭЦ|17
01 1127|6|- ГЭС|18
01 1200|2|Электроэнергия, произведенная локальными электростанциями (не работающими в энергосистеме)|19
01 1210|7|Электроэнергия, произведенная локальными электростанциями|20
01 1250|5|Электроэнергия, произведенная локальными электростанциями в городах и промышленных центрах|21
01 1260|8|Электроэнергия, произведенная прочими локальными электростанциями (вне промышленных центров и городов)|22
01 2000|8|Теплоэнергия|23
01 2001|3|Теплоэнергия, отпущенная электростанциями общего пользования, районными котельными и электробойлерными установками *|24
01 2002|9|Теплоэнергия, отпущенная районными котельными *|25
01 2003|4|Теплоэнергия, отпущенная электробойлерными установками *|26
01 2100|1|Теплоэнергия, отпущенная электростанциями|27
01 2110|6|Теплоэнергия, отпущенная / электростанциями общего пользования|28
01 2111|1|- КЭС общего пользования|29
01 2112|7|- ТЭЦ общего пользования|30
01 2120|0|Теплоэнергия, отпущенная промышленными / электростанциями|31
01 2121|6|- КЭС|32
01 2122|1|- ТЭЦ|33
01 2130|5|Теплоэнергия, отпущенная коммунальными / электростанциями|34
01 2131|0|- КЭС|35
01 2132|6|- ТЭЦ|36
01 2140|4|Теплоэнергия, отпущенная сельскими / электростанциями|37
01 2141|5|- КЭС|38
01 2142|0|- ТЭЦ|39
01 2200|5|Теплоэнергия, отпущенная котельными|40
01 2210|0|Теплоэнергия, отпущенная районными / котельными|41
01 2211|5|- паровыми котлами|42
01 2212|0|- водогрейными котлами|43
01 2213|6|- электробойлерными установками|44
01 2220|4|Теплоэнергия, отпущенная промышленными (работающими на общую теплосеть) / котельными|45
01 2221|4|- электробойлерными установками|46
01 2230|9|Теплоэнергия, отпущенная промышленными (не работающими на общую теплосеть) / котельными|47
01 2231|4|- электробойлерными установками|48
01 2240|3|Теплоэнергия, отпущенная коммунальными (работающими на общую теплосеть) / котельными|49
01 2241|9|- электробойлерными установками|50
01 2250|8|Теплоэнергия, отпущенная коммунальными (не работающими на общую теплосеть) / котельными|51
01 2251|3|- электробойлерными установками|52
01 2260|2|Теплоэнергия, отпущенная сельскими котельными|53
01 2270|7|Теплоэнергия, отпущенная котельными прочих категорий|54
01 2300|9|Теплоэнергия, отпущенная промышленными утилизационными установками|55
01 3000|0|Вода, лед, холод|56
01 3100|4|Вода питьевая|57
01 3200|8|Вода техническая|58
01 3300|1|Вода сточная очищенная|59
01 3500|9|Побочные продукты водного хозяйства и минеральных источников|60
01 3700|6|Лед|61
01 3710|0|Лед природный (натуральный)|62
01 3720|5|Лед искусственный|63
01 3800|1|Холод поставляемый|64
02 0000|4|НЕФТЬ, НЕФТЕПРОДУКТЫ, АЛЬТЕРНАТИВНЫЕ ВИДЫ ТОПЛИВА. ГАЗ|65
02 4000|5|Нефть добытая, нефть, направленная на подготовку, нефть подготовленная, нефть по видам поставок и озокерит природный|66
02 4100|9|Нефть добытая|67
02 4101|4|Нефть добытая (включая газовый конденсат) *|68
02 4102|6|Нефть добытая морских месторождений *|69
02 4110|3|Нефть добытая малосернистая /|70
02 4111|9|- материковая|71
02 4112|4|- морских месторождений|72
02 4120|8|Нефть добытая сернистая /|73
02 4121|3|- материковая|74
02 4122|9|- морских месторождений|75
02 4130|2|Нефть добытая высокосернистая /|76
02 4131|8|- материковая|77
02 4132|3|- морских месторождений|78
02 4200|2|Нефть, направленная на обезвоживание, обессоливание и стабилизацию|79
02 4210|7|Нефть, направленная на обезвоживание и обессоливание|80
02 4220|1|Нефть, направленная на стабилизацию|81
02 4300|6|Нефть, обезвоженная и обессоленная на нефтепромыслах и газоперерабатывающих заводах|82
02 4310|0|Нефть, обезвоженная и обессоленная на нефтепромыслах /|83
02 4311|6|- с содержанием воды не более 0,2%, солей не более 40 мг/л, механических примесей не более 0,05%|84
02 4312|1|- с содержанием воды не более 0,5%, солей не более 100 мг/л, механических примесей не более 0,05%|85
02 4313|7|- с содержанием воды не более 1,0%, солей не более 300 мг/л, механических примесей не более 0,05%|86
02 4314|2|- с содержанием воды не более 1,0%, солей не более 1800 мг/л, механических примесей не более 0,05%|87
02 4315|8|- с содержанием воды св. 1,0%, солей св. 1800 мг/л, механических примесей св. 0,05%|88
02 4320|5|Нефть, обезвоженная и обессоленная на газоперерабатывающих заводах /|89
02 4321|0|- с содержанием воды не более 0,2%, солей не более 40 мг/л, механических примесей не более 0,05%|90
02 4322|6|- с содержанием воды не более 0,5%, солей не более 100 мг/л, механических примесей не более 0,05%|91
02 4323|1|- с содержанием воды не более 1,0%, солей не более 300 мг/л, механических примесей не более 0,05%|92
02 4324|7|- с содержанием воды не более 1,0%, солей не более 1800 мг/л, механических примесей не более 0,05%|93
02 4325|2|- с содержанием воды св. 1,0%, солей св. 1800 мг/л, механических примесей св. 0,05%|94
02 4400|8|Нефть, стабилизированная на нефтепромыслах и газоперерабатывающих заводах|95
02 4410|4|Нефть, стабилизированная на нефтепромыслах|96
02 4420|9|Нефть, стабилизированная на газоперерабатывающих заводах|97
02 4500|3|Нефть по видам поставок|98
02 4510|8|Нефть, используемая для получения нефтепродуктов /|99
02 4511|3|- малосернистая|100
02 4512|9|- сернистая|101
02 4513|4|- высокосернистая|102
02 4520|2|Нефть, поставляемая в счет моторного топлива|103
02 4530|7|Нефть, поставляемая в счет топочного мазута|104
02 4540|1|Нефть, поставляемая в счет нефтебитума|105
02 4550|6|Нефть, поставляемая на нефтепереработку /|106
02 4551|1|- с содержанием воды не более 0,5%, солей не более 100 мг/л, механических примесей не более 0,05%|107
02 4552|7|- с содержанием воды не более 1,0%, солей не более 300 мг/л, механических примесей не более 0,05%|108
02 4553|2|- с содержанием воды не более 1,0%, солей не более 1800 мг/л, механических примесей не более 0,05%|109
02 4600|7|Озокерит природный|110
02 5000|8|Нефтепродукты. Альтернативные виды топлива|111
02 5001|3|Топливо судовое Пояснение: алгоритм сбора 02 5134 + 02 5196 + 02 5213 введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|112
02 5100|1|Нефтепродукты светлые. Альтернативные виды топлива|113
02 5101|7|Бензины автомобильные Пояснение: алгоритм сбора 02 5112 + 02 5115 + 02 5116 + 02 5117 + 02 5119 введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|114
02 5102|2|Топливо дизельное Пояснение: алгоритм сбора 02 5130 + 02 5150 + 02 5160 + 02 5170 + 02 5180 введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|115
02 5110|6|Бензины /|116
02 5111|1|- авиационные|117
02 5112|7|- автомобильные, не включенные в другие группировки в ред. Изменения 77/2009 ОКП,  утв.  Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|118
02 5113|2|- растворители (сортовые)|119
02 5114|8|- для химической промышленности|120
02 5115|3|- автомобильные класса 2 введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|121
02 5116|9|- автомобильные класса 3 введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|122
02 5117|4|- автомобильные класса 4 введен Изменением 77/2009 ОКП, утв. Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|123
02 5119|5|- автомобильные класса 5 в ред. Изменения 77/2009 ОКП,  утв.  Приказом Ростехрегулирования т 15.12.2009 N 784-ст)|124
02 5120|0|Керосины|125
