FullName|ISOAlpha2|ISOAlpha3|NumericCode|OKSMID|ShortName
Не определена|00|000|000|0|-
Республика Абхазия|AB|ABH|895|1|АБХАЗИЯ
|AU|AUS|036|2|АВСТРАЛИЯ
Австрийская Республика|AT|AUT|040|3|АВСТРИЯ
Республика Азербайджан|AZ|AZE|031|4|АЗЕРБАЙДЖАН
Республика Албания|AL|ALB|008|5|АЛБАНИЯ
Алжирская Народная Демократическая Республика|DZ|DZA|012|6|АЛЖИР
|AS|ASM|016|7|АМЕРИКАНСКОЕ САМОА
|AI|AIA|660|8|АНГИЛЬЯ
Республика Ангола|AO|AGO|024|9|АНГОЛА
Княжество Андорра|AD|AND|020|10|АНДОРРА
|AQ|ATA|010|11|АНТАРКТИДА
|AG|ATG|028|12|АНТИГУА И БАРБУДА
Аргентинская Республика|AR|ARG|032|13|АРГЕНТИНА
Республика Армения|AM|ARM|051|14|АРМЕНИЯ
|AW|ABW|533|15|АРУБА
Переходное Исламское Государство Афганистан|AF|AFG|004|16|АФГАНИСТАН
Содружество Багамы|BS|BHS|044|17|БАГАМЫ
Народная Республика Бангладеш|BD|BGD|050|18|БАНГЛАДЕШ
|BB|BRB|052|19|БАРБАДОС
Королевство Бахрейн|BH|BHR|048|20|БАХРЕЙН
Республика Беларусь|BY|BLR|112|21|БЕЛАРУСЬ
|BZ|BLZ|084|22|БЕЛИЗ
Королевство Бельгии|BE|BEL|056|23|БЕЛЬГИЯ
Республика Бенин|BJ|BEN|204|24|БЕНИН
|BM|BMU|060|25|БЕРМУДЫ
Республика Болгария|BG|BGR|100|26|БОЛГАРИЯ
Многонациональное Государство Боливия|BO|BOL|068|27|БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО
|BQ|BES|535|28|БОНЭЙР, СИНТ-ЭСТАТИУС И САБА
|BA|BIH|070|29|БОСНИЯ И ГЕРЦЕГОВИНА
Республика Ботсвана|BW|BWA|072|30|БОТСВАНА
Федеративная Республика Бразилия|BR|BRA|076|31|БРАЗИЛИЯ
|IO|IOT|086|32|БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ
|BN|BRN|096|33|БРУНЕЙ-ДАРУССАЛАМ
|BF|BFA|854|34|БУРКИНА-ФАСО
Республика Бурунди|BI|BDI|108|35|БУРУНДИ
Королевство Бутан|BT|BTN|064|36|БУТАН
Республика Вануату|VU|VUT|548|37|ВАНУАТУ
|HU|HUN|348|38|ВЕНГРИЯ
Боливарианская Республика Венесуэла|VE|VEN|862|39|ВЕНЕСУЭЛА БОЛИВАРИАНСКАЯ РЕСПУБЛИКА
Британские Виргинские острова|VG|VGB|092|40|ВИРГИНСКИЕ ОСТРОВА, БРИТАНСКИЕ
Виргинские острова Соединенных Штатов|VI|VIR|850|41|ВИРГИНСКИЕ ОСТРОВА, США
Демократическая Республика Тимор-Лесте|TL|TLS|626|42|ТИМОР-ЛЕСТЕ
Социалистическая Республика Вьетнам|VN|VNM|704|43|ВЬЕТНАМ
Габонская Республика|GA|GAB|266|44|ГАБОН
Республика Гаити|HT|HTI|332|45|ГАИТИ
Республика Гайана|GY|GUY|328|46|ГАЙАНА
Республика Гамбия|GM|GMB|270|47|ГАМБИЯ
Республика Гана|GH|GHA|288|48|ГАНА
|GP|GLP|312|49|ГВАДЕЛУПА
Республика Гватемала|GT|GTM|320|50|ГВАТЕМАЛА
Гвинейская Республика|GN|GIN|324|51|ГВИНЕЯ
Республика Гвинея-Бисау|GW|GNB|624|52|ГВИНЕЯ-БИСАУ
