"[ISOAlpha3]|[ISONumericCode]|[Name]|[OKVID]|[ShortCountryName]" 
ALL|008|Лек|1|Албания
DZD|012|Алжирский динар|2|Алжир
ARS|032|Аргентинское песо|3|Аргентина
AUD|036|Австралийский доллар|4|Австралия; Кирибати; Кокосовые (Килинг) острова; Науру; Остров Норфолк; Остров Рождества; Остров Херд и острова Макдональд; Тувалу
BSD|044|Багамский доллар|5|Багамы
BHD|048|Бахрейнский динар|6|Бахрейн
BDT|050|Така|7|Бангладеш
AMD|051|Армянский драм|8|Армения
BBD|052|Барбадосский доллар|9|Барбадос
BMD|060|Бермудский доллар|10|Бермуды
BTN|064|Нгултрум|11|Бутан
BOB|068|Боливиано|12|Боливия, многонациональное государство
BWP|072|Пула|13|Ботсвана
BZD|084|Белизский доллар|14|Белиз
SBD|090|Доллар Соломоновых Островов|15|Соломоновы Острова 
BND|096|Брунейский доллар|16|Бруней-Даруссалам
MMK|104|Кьят|17|Мьянма
BIF|108|Бурундийский франк|18|Бурунди
KHR|116|Риель|19|Камбоджа
CAD|124|Канадский доллар|20|Канада
CVE|132|Эскудо Кабо-Верде|21|Кабо-Верде
KYD|136|Доллар Островов Кайман|22|Острова Кайман
LKR|144|Шри-Ланкийская рупия|23|Шри-Ланка
CLP|152|Чилийское песо|24|Чили
CNY|156|Юань|25|Китай
COP|170|Колумбийское песо|26|Колумбия
KMF|174|Франк Комор|27|Коморы
CRC|188|Костариканский колон|28|Коста-Рика
HRK|191|Хорватская куна|29|Хорватия
CUP|192|Кубинское песо|30|Куба
CZK|203|Чешская крона|31|Чешская Республика
DKK|208|Датская крона|32|Гренландия; Дания; Фарерские острова
DOP|214|Доминиканское песо|33|Доминиканская Республика
SVC|222|Сальвадорский колон|34|Эль-Сальвадор
ETB|230|Эфиопский быр|35|Эфиопия
ERN|232|Накфа|36|Эритрея
EEK|233|Крона|37|Эстония
FKP|238|Фунт Фолклендских островов|38|Фолклендские острова (Мальвинские)
FJD|242|Доллар Фиджи|39|Фиджи
DJF|262|Франк Джибути|40|Джибути
GMD|270|Даласи|41|Гамбия
GIP|292|Гибралтарский фунт|42|Гибралтар
GTQ|320|Кетсаль|43|Гватемала
GNF|324|Гвинейский франк|44|Гвинея
GYD|328|Гайанский доллар|45|Гайана
HTG|332|Гурд|46|Гаити
HNL|340|Лемпира|47|Гондурас
HKD|344|Гонконгский доллар|48|Гонконг
HUF|348|Форинт|49|Венгрия
ISK|352|Исландская крона|50|Исландия
INR|356|Индийская рупия|51|Бутан; Индия
IDR|360|Рупия|52|Индонезия
