"[Code]|[Description]|[IndustryID]|[Name]|[OKVEDID]|[ParentCode]|[ParentOKVEDID]" 
РАЗДЕЛ A|-||СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО|1||
01|-||Сельское хозяйство, охота и предоставление услуг в этих областях|2|РАЗДЕЛ Q|1874
01.1|-|41|Растениеводство|3|01|2
01.11|-|41|Выращивание зерновых, технических и прочих сельскохозяйственных культур, не включенных в другие группировки|4|01.1|3
01.11.1|Эта группировка включает: - выращивание твердой и мягкой пшеницы, ржи, ячменя, овса, кукурузы, риса и прочих зерновых культур - выращивание и сушку зернобобовых культур (гороха, фасоли, бобов) - выращивание семян, в том числе элитных и репродукционных семян, предназначенных для реализации Эта группировка не включает: - выращивание сахарной кукурузы, см. 01.12.1|41|Выращивание зерновых и зернобобовых культур|5|01.11|4
01.11.2|Эта группировка включает: - выращивание картофеля - выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина - выращивание семян и посадочного материала, в том числе элитных и репродукционных, предназначенных для реализации Эта группировка не включает: - выращивание прочих овощей, см. 01.12.1|41|Выращивание картофеля, столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина|6|01.11|4
01.11.3|Эта группировка включает: - выращивание семян и плодов масличных культур: подсолнечника, сурепицы, горчицы, рапса, соевых бобов и других масличных культур - выращивание элитных семян и репродукционных семян, предназначенных для реализации|41|Выращивание масличных культур|7|01.11|4
01.11.4|Эта группировка включает: - выращивание табака и махорки и их первичную обработку: сушку листьев табака и махорки - выращивание семян, в том числе элитных и репродукционных, предназначенных для реализации|41|Выращивание табака и махорки|8|01.11|4
01.11.5|Эта группировка включает: - выращивание сахарной свеклы - выращивание семян и маточников сахарной свеклы, в том числе элитных и репродукционных, предназначенных для реализации|41|Выращивание сахарной свеклы|9|01.11|4
01.11.6|Эта группировка включает: - выращивание корнеплодных кормовых культур (кормовой свеклы, кормовой моркови, турнепса), бахчевых и зернобобовых кормовых культур - выращивание силосных кормовых культур (подсолнечника, кукурузы, кормовой капусты и т.п.) - выращивание однолетних и многолетних кормовых трав - заготовку сена и производство растительных кормов (силоса, сенажа, травяной муки) - выращивание семян кормовых культур, в том числе элитных и репродукционных, предназначенных для реализации|41|Выращивание кормовых культур; заготовка растительных кормов|10|01.11|4
01.11.7|Эта группировка включает: - выращивание прядильных культур (льна - долгунца, обыкновенной конопли, хлопчатника и др.) - мочку растений, из которых получают растительное текстильное волокно - выращивание семян прядильных культур, в том числе элитных семян и репродукционных семян, предназначенных для реализации Эта группировка не включает: - выращивание растений, используемых для плетения, см. 02.01.5|41|Выращивание прядильных культур|11|01.11|4
01.11.8|Эта группировка включает: - выращивание растений, используемых в качестве пестицидов - выращивание растений, используемых, в основном, в парфюмерии, фармации и для аналогичных целей - выращивание хмеля - выращивание сельскохозяйственных культур, не включенных в другие группировки Эта группировка не включает: - выращивание дынь, см. 01.12.1 - выращивание овощных семян, см. 01.12.1 - выращивание цветов, см. 01.12.2 - выращивание цветочных семян, см. 01.12.2 - выращивание декоративных растений, см. 01.12.2 - выращивание культур для производства напитков, см. 01.13.3 - выращивание культур для производства пряностей, см. 01.13.4 - выращивание орехов, см. 01.13.22 - сбор лесных продуктов и прочих дикорастущих сырьевых материалов, см. 02.01.2|41|Выращивание прочих сельскохозяйственных культур, не включенных в другие группировки|12|01.11|4
01.12|-|41|Овощеводство; декоративное садоводство и производство продукции питомников|13|01.1|3
01.12.1|Эта группировка включает: - выращивание томатов, дынь, лука, капусты, салата, огурцов, моркови, столовой свеклы, фасоли, бобов, кресс - салата, сахарной кукурузы, кабачков, баклажанов, лука - порея, перца - выращивание зеленых культур, используемых как приправы (каперсов, укропа, петрушки, кервеля, эстрагона, майорана) - выращивание семян овощных культур, в том числе элитных семян и репродукционных семян, предназначенных для реализации Эта группировка не включает: - выращивание картофеля и посадочного материала для его выращивания, см. 01.11.2 - выращивание сахарной свеклы и производство семян сахарной свеклы, см. 01.11.5 - выращивание корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина, производство семян и посадочного материала для их выращивания, см. 01.11.2|41|Овощеводство|14|01.12|13
01.12.2|Эта группировка включает: - выращивание цветов - производство семян, луковиц и клубней цветов - выращивание рассады и растений для декоративных целей, включая выращивание дернины для пересадки Эта группировка не включает: - выращивание культур для производства пряностей, см. 01.13.4 - выращивание лесопосадочных материалов, см. 02.01.5 - выращивание новогодних елок, см. 02.01.5|41|Декоративное садоводство и производство продукции питомников|15|01.12|13
01.12.3|-|41|Выращивание грибов, сбор лесных грибов и трюфелей|16|01.12|13
