"[Category]|[CyrillicCode]|[EnglishName]|[GOST767RegionID]|[ISOAlpha2]|[ISOAlpha3]|[ISONumericCode]|[Name]" 
-|-|Not exists|0|-|-|-|Не существует
Город федерального значения|РОФ-МОС|Moscow (city)|1|RU-MS|RU-MOW|643-001|Москва (город)
Город федерального значения|РОФ-СПБ|Saint-Petersburg|2|RU-SP|RU-SPB|643-002|Санкт-Петербург
Республика|РОФ-АДЫ|Adygeya|3|RU-AD|RU-ADY|643-101|Адыгея
Республика|РОФ-АЛР|Altai (Republic of Altai)|4|RU-AL|RU-ALI|643-105|Алтай (Республика Алтай)
Республика|РОФ-БАШ|Bashkortostan|5|RU-BA|RU-BAS|643-109|Башкирия (Республика Башкортостан)
Республика|РОФ-БУР|Buryatia|6|RU-BU|RU-BUR|643-113|Бурятия
Республика|РОФ-ДАГ|Daghestan|7|RU-DA|RU-DAG|643-117|Дагестан
Республика|РОФ-ИНГ|Ingushetia|8|RU-IN|RU-ING|643-121|Ингушетия
Республика|РОФ-КАБ|Kabardino-Balkaria|9|RU-KB|RU-KAB|643-125|Кабардино-Балкария
Республика|РОФ-КАИ|Kalmykia|10|RU-KI|RU-KAL|643-129|Калмыкия
Республика|РОФ-КАО|Karachayevo-Cherkessia|11|RU-KK|RU-KAR|643-133|Карачаево-Черкессия
Республика|РОФ-КАР|Karelia|12|RU-KL|RU-KEM|643-137|Карелия
Республика|РОФ-КОМ|Komi Republic|13|RU-KO|RU-KOM|643-141|Коми (Республика Коми)
Республика|РОФ-МАР|Marij El|14|RU-ME|RU-MAR|643-145|Марий Эл
Республика|РОФ-МОР|Mordovia|15|RU-MO|RU-MOR|643-149|Мордовия
Республика|РОФ-МЕВ|North Ossetia — Alania|16|RU-NO|RU-NOR|643-153|Северная Осетия — Алания
Республика|РОФ-ТАТ|Tatarstan|17|RU-TA|RU-TAT|643-157|Татарстан
Республика|РОФ-ТУВ|Tuva (Tyva)|18|RU-TY|RU-TUV|643-161|Тува (Тыва)
Республика|РОФ-УДМ|Udmurtia|19|RU-UD|RU-UDM|643-165|Удмуртия
Республика|РОФ-ХАК|Khakassia|20|RU-KN|RU-KHM|643-169|Хакасия
Республика|РОФ-ЧЕЧ|Chechen Republic|21|RU-CE|RU-CHA|643-173|Чечня (Чеченская Республика)
Республика|РОФ-ЧУВ|Chuvashia|22|RU-CU|RU-CHV|643-177|Чувашия
Республика|РОФ-ЯКУ|Sakha (Yakutia), Republic of|23|RU-SA|RU-SAH|643-181|Якутия (Республика Саха)
Край|РОФ-АЛТ|Altai kray|24|NULL|RU-ALT|643-301|Алтайский край
Область|РОФ-АМУ|Amur obl.|25|NULL|RU-AMU|643-308|Амурская область
Область|РОФ-АРХ|Arkhangelsk obl.|26|NULL|RU-ARK|643-314|Архангельская область
Область|РОФ-АСТ|Astrakhan obl.|27|NULL|RU-AST|643-320|Астраханская область
Область|РОФ-БЕЛ|Belgorod obl.|28|NULL|RU-BEL|643-326|Белгородская область
Область|РОФ-БРЯ|Bryansk obl.|29|NULL|RU-BRY|643-332|Брянская область
Область|РОФ-ВЛА|Vladimir obl.|30|NULL|RU-VLA|643-338|Владимирская область
Область|РОФ-ВОГ|Volgograd obl.|31|NULL|RU-VGG|643-344|Волгоградская область
Область|РОФ-ВОЛ|Vologda obl.|32|NULL|RU-VLG|643-350|Вологодская область
Область|РОФ-ВОР|Voronezh obl.|33|NULL|RU-VOR|643-356|Воронежская область
Область|РОФ-ИВА|Ivanovo obl.|34|NULL|RU-IVA|643-362|Ивановская область
Область|РОФ-ИРК|Irkutsk obl.|35|NULL|RU-IRK|643-368|Иркутская область
Область|РОФ-КАГ|Kaliningrad obl.|36|NULL|RU-KAI|643-374|Калининградская область
Область|РОФ-КАЛ|Kaluga obl.|37|NULL|RU-KAM|643-380|Калужская область
Край|РОФ-КАМ|Kamchatka kray|38|NULL|RU-KAO|643-386|Камчатская край
Область|РОФ-КЕМ|Kemerovo obl.|39|NULL|RU-KHA|643-392|Кемеровская область
Область|РОФ-КИР|Kirov obl.|40|NULL|RU-KOP|643-398|Кировская область
Область|РОФ-КОС|Kostroma obl.|41|NULL|RU-KOS|643-404|Костромская область
Край|РОФ-КУР|Krasnodar kray|42|NULL|RU-KRA|643-410|Краснодарский край
Край|РОФ-КРА|Krasnoyarsk kray|43|NULL|RU-KYA|643-416|Красноярский край
Область|РОФ-КРН|Kurgan obl.|44|NULL|RU-KUG|643-422|Курганская область
Область|РОФ-КУС|Kursk obl.|45|NULL|RU-KUR|643-428|Курская область
Область|РОФ-ЛЕН|Leningrad obl.|46|NULL|RU-LEN|643-434|Ленинградская область
Область|РОФ-ЛИП|Lipetsk obl.|47|NULL|RU-LIP|643-440|Липецкая область
Область|РОФ-МАГ|Magadan obl.|48|NULL|RU-MAG|643-446|Магаданская область
Область|РОФ-МОЯ|Moscow obl.|49|NULL|RU-MOS|643-452|Московская область
Область|РОФ-МУР|Murmansk obl.|50|NULL|RU-MUR|643-458|Мурманская область
Область|РОФ-НИЖ|Nizhni Novgorod obl.|51|NULL|RU-NIZ|643-464|Нижегородская область
Область|РОФ-НОВ|Novgorod obl.|52|NULL|RU-NGR|643-470|Новгородская область
Область|РОФ-НОС|Novosibirsk obl.|53|NULL|RU-NVS|643-476|Новосибирская область
Область|РОФ-ОМС|Omsk obl.|54|NULL|RU-OMS|643-484|Омская область
Область|РОФ-ОРЕ|Orenburg obl.|55|NULL|RU-ORE|643-490|Оренбургская область
