Full name,Short name,District,Code,Type of region,ISO code,Cyrillic code,Capital,Car code
Не определен,нет,Центральный Федеральный Округ,-,-,-,-      ,-,--
Республика Адыгея (Адыгея),Респ. Адыгея,Южный Федеральный Округ,0379,республика,RU-AD,РОФ-АДЫ,г Майкоп,01
Республика Алтай,Респ. Алтай,Сибирский Федеральный Округ,0784,республика,RU-AL,РОФ-АЛР,г Горно-Алтайск,04
Алтайский край,Алтайский кр.,Сибирский Федеральный Округ,0701,край,RU-ALT,РОФ-АЛТ,г Барнаул,22
Амурская область,Амурская обл.,Дальневосточный Федеральный Округ,0810,область,RU-AMU,РОФ-АМУ,г Благовещенск,28
Архангельская область,Архангельская обл.,Северо-Западный Федеральный Округ,0211,область,RU-ARK,РОФ-АРХ,г Архангельск,29
Астраханская область,Астраханская обл.,Южный Федеральный Округ,0312,область,RU-AST,РОФ-АСТ,г Астрахань,30
Республика Башкортостан,Респ. Башкортостан,Приволжский Федеральный Округ,0580,республика,RU-BA,РОФ-БАШ,г Уфа,02  102
Белгородская область,Белгородская обл.,Центральный Федеральный Округ,0114,область,RU-BEL,РОФ-БЕЛ,г Белгород,31
Брянская область,Брянская обл.,Центральный Федеральный Округ,0115,область,RU-BRY,РОФ-БРЯ,г Брянск,32
Республика Бурятия,Респ. Бурятия,Дальневосточный Федеральный Округ,0781,республика,RU-BU,РОФ-БУР,г Улан-Удэ,03
Чеченская Республика,Чеченская Республика,Северо-Кавказский Федеральный Округ,0496,республика,RU-CE,РОФ-ЧЕЧ,г Грозный,95
Челябинская область,Челябинская обл.,Уральский Федеральный Округ,0675,область,RU-CHE,РОФ-ЧЕЛ,г Челябинск,74  174
Чувашская Республика - Чувашия,Респ. Чувашия,Приволжский Федеральный Округ,0597,республика,RU-CU,РОФ-ЧУВ,г Чебоксары,21  121
Республика Дагестан,Респ. Дагестан,Северо-Кавказский Федеральный Округ,0482,республика,RU-DA,РОФ-ДАГ,г Махачкала,05
Республика Ингушетия,Респ. Ингушетия,Северо-Кавказский Федеральный Округ,0426,республика,RU-IN,РОФ-ИНГ,г Магас,06
Иркутская область,Иркутская обл.,Сибирский Федеральный Округ,0725,область,RU-IRK,РОФ-ИРК,г Иркутск,38  138  85[13]
Ивановская область,Ивановская обл.,Центральный Федеральный Округ,0124,область,RU-IVA,РОФ-ИВА,г Иваново,37
Еврейская автономная область,Еврейская АО,Дальневосточный Федеральный Округ,0899,автономная область,RU-YEV,РОФ-ЕВР,г Биробиджан,79
Кабардино-Балкарская Республика,КБР,Северо-Кавказский Федеральный Округ,0483,республика,RU-KB,РОФ-КАБ,г Нальчик,07
Калининградская область,Калининградская обл.,Северо-Западный Федеральный Округ,0227,область,RU-KGD,РОФ-КАГ,г Калининград,39  91
Калужская область,Калужская обл.,Центральный Федеральный Округ,0129,область,RU-KLU,РОФ-КАЛ,г Калуга,40
Камчатский край,Камчатский кр.,Дальневосточный Федеральный Округ,0830,край,RU-KAM,РОФ-КАМ,г Петропавловск-Камчатский,41
Карачаево-Черкесская Республика,КЧР,Северо-Кавказский Федеральный Округ,0491,республика,RU-KC,РОФ-КАО,г Черкесск,09
Кемеровская область,Кемеровская обл.,Сибирский Федеральный Округ,0732,область,RU-KEM,РОФ-КЕМ,г Кемерово,42  142
Хабаровский край,Хабаровский кр.,Дальневосточный Федеральный Округ,0808,край,RU-KHA,РОФ-ХАБ,г Хабаровск,27
Республика Хакасия,Респ. Хакасия,Сибирский Федеральный Округ,0795,республика,RU-KK,РОФ-ХАК,г Абакан,19
Республика Калмыкия,Респ. Калмыкия,Южный Федеральный Округ,0385,республика,RU-KL,РОФ-КАИ,г Элиста,08
Республика Коми,Респ. Коми,Северо-Западный Федеральный Округ,0287,республика,RU-KO,РОФ-КОМ,г Сыктывкар,11  111
Кировская область,Кировская обл.,Приволжский Федеральный Округ,0533,область,RU-KIR,РОФ-КИР,г Киров,43
Костромская область,Костромская обл.,Центральный Федеральный Округ,0134,область,RU-KOS,РОФ-КОС,г Кострома,44
Республика Карелия,Респ. Карелия,Северо-Западный Федеральный Округ,0286,республика,RU-KR,РОФ-КАР,г Петрозаводск,10
Краснодарский край,Краснодарский кр.,Южный Федеральный Округ,0303,край,RU-KDA,РОФ-КУР,г Краснодар,23  93  123
Курганская область,Курганская обл.,Уральский Федеральный Округ,0637,область,RU-KGN,РОФ-КРН,г Курган,45
Курская область,Курская обл.,Центральный Федеральный Округ,0138,область,RU-KRS,РОФ-КУС,г Курск,46
Красноярский край,Красноярский кр.,Сибирский Федеральный Округ,0704,край,RU-KYA,РОФ-КРА,г Красноярск,24  124  84[9]  88[10]
Ленинградская область,Ленинградская обл.,Северо-Западный Федеральный Округ,0241,область,RU-LEN,РОФ-ЛЕН,г Санкт-Петербург,47
Липецкая область,Липецкая обл.,Центральный Федеральный Округ,0142,область,RU-LIP,РОФ-ЛИП,г Липецк,48
Магаданская область,Магаданская обл.,Дальневосточный Федеральный Округ,0844,область,RU-MAG,РОФ-МАГ,г Магадан,49
Республика Марий Эл,Респ. Марий Эл,Приволжский Федеральный Округ,0588,республика,RU-ME,РОФ-МАР,г Йошкар-Ола,12
Республика Мордовия,Респ. Мордовия,Приволжский Федеральный Округ,0589,республика,RU-MO,РОФ-МОР,г Саранск,13  113
Московская область,Московская обл.,Центральный Федеральный Округ,0146,область,RU-MOS,РОФ-МОЯ,г Москва,50  90  150  190  750
Москва (город),Москва,Центральный Федеральный Округ,0245,город федерального значения,RU-MOW,РОФ-МОС,г Москва,77  97  99  177  197  199  777
Мурманская область,Мурманская обл.,Северо-Западный Федеральный Округ,0247,область,RU-MUR,РОФ-МУР,г Мурманск,51
Новгородская область,Новгородская обл.,Северо-Западный Федеральный Округ,0249,область,RU-NGR,РОФ-НОВ,г Великий Новгород,53
Нижегородская область,Нижегородская обл.,Приволжский Федеральный Округ,0522,область,RU-NIZ,РОФ-НИЖ,г Нижний Новгород,52  152
Новосибирская область,Новосибирская обл.,Сибирский Федеральный Округ,0750,область,RU-NVS,РОФ-НОС,г Новосибирск,54  154
Омская область,Омская обл.,Сибирский Федеральный Округ,0752,область,RU-OMS,РОФ-ОМС,г Омск,55
Оренбургская область,Оренбургская обл.,Приволжский Федеральный Округ,0553,область,RU-ORE,РОФ-ОРЕ,г Оренбург,56
Орловская область,Орловская обл.,Центральный Федеральный Округ,0154,область,RU-ORL,РОФ-ОРЛ,г Орёл,57
Пермский край,Пермский кр.,Приволжский Федеральный Округ,0557,край,RU-PER,РОФ-ПЕР,г Пермь,59  81[12]  159
Пензенская область,Пензенская обл.,Приволжский Федеральный Округ,0556,область,RU-PNZ,РОФ-ПЕН,г Пенза,58
Приморский край,Приморский кр.,Дальневосточный Федеральный Округ,0805,край,RU-PRI,РОФ-ПРИ,г Владивосток,25  125
Псковская область,Псковская обл.,Северо-Западный Федеральный Округ,0258,область,RU-PSK,РОФ-ПСК,г Псков,60
Ростовская область,Ростовская обл.,Южный Федеральный Округ,0360,область,RU-ROS,РОФ-РОС,г Ростов-на-Дону,61  161
Рязанская область,Рязанская обл.,Центральный Федеральный Округ,0161,область,RU-RYA,РОФ-РЯЗ,г Рязань,62
Республика Саха (Якутия),Респ. Саха (Якутия),Дальневосточный Федеральный Округ,0898,республика,RU-SA,РОФ-ЯКУ,г Якутск,14
Сахалинская область,Сахалинская обл.,Дальневосточный Федеральный Округ,0864,область,RU-SAK,РОФ-САХ,г Южно-Сахалинск,65
Самарская область,Самарская обл.,Приволжский Федеральный Округ,0536,область,RU-SAM,РОФ-САМ,г Самара,63  163
Саратовская область,Саратовская обл.,Приволжский Федеральный Округ,0563,область,RU-SAR,РОФ-САР,г Саратов,64  164
Республика Северная Осетия (Алания),Северная Осетия,Северо-Кавказский Федеральный Округ,0490,республика,RU-SE,РОФ-МЕВ,г Владикавказ,15
Смоленская область,Смоленская обл.,Центральный Федеральный Округ,0166,область,RU-SMO,РОФ-СМО,г Смоленск,67
Санкт-Петербург,Санкт-Петербург,Северо-Западный Федеральный Округ,0240,город федерального значения,RU-SPE,РОФ-СПБ,г Санкт-Петербур,78  98  178
Ставропольский край,Ставропольский кр.,Северо-Кавказский Федеральный Округ,0407,край,RU-STA,РОФ-СТА,г Ставрополь,26  126
Свердловская область,Свердловская обл.,Уральский Федеральный Округ,0665,область,RU-SVE,РОФ-СВЕ,г Екатеринбург,66  96  196
Республика Татарстан (Татарстан),Респ. Татарстан,Приволжский Федеральный Округ,0592,республика,RU-TA,РОФ-ТАТ,г Казань,16  116
Тамбовская область,Тамбовская обл.,Центральный Федеральный Округ,0168,область,RU-TAM,РОФ-ТАМ,г Тамбов,68
Томская область,Томская обл.,Сибирский Федеральный Округ,0769,область,RU-TOM,РОФ-ТОМ,г Томск,70
Республика Тыва,Респ. Тыва,Сибирский Федеральный Округ,0793,республика,RU-TY,РОФ-ТУВ,г Кызыл,17
Тульская область,Тульская обл.,Центральный Федеральный Округ,0170,область,RU-TUL,РОФ-ТУЛ,г Тула,71
Тверская область,Тверская обл.,Центральный Федеральный Округ,0128,область,RU-TVE,РОФ-ТВЕ,г Тверь,69
Тюменская область,Тюменская обл.,Уральский Федеральный Округ,0671,область,RU-TYU,РОФ-ТЮМ,г Тюмень,72
Удмуртская Республика,Удмуртская Республика,Приволжский Федеральный Округ,0594,республика,RU-UD,РОФ-УДМ,г Ижевск,18
Ульяновская область,Ульяновская обл.,Приволжский Федеральный Округ,0573,область,RU-ULY,РОФ-УЛЬ,г Ульяновск,73  173
Волгоградская область,Волгоградская обл.,Южный Федеральный Округ,0318,область,RU-VGG,РОФ-ВОГ,г Волгоград,34  134
Владимирская область,Владимирская обл.,Центральный Федеральный Округ,0117,область,RU-VLA,РОФ-ВЛА,г Владимир,33
Вологодская область,Вологодская обл.,Северо-Западный Федеральный Округ,0219,область,RU-VLG,РОФ-ВОЛ,г Вологда,35
Воронежская область,Воронежская обл.,Центральный Федеральный Округ,0120,область,RU-VOR,РОФ-ВОР,г Воронеж,36  136
Ярославская область,Ярославская обл.,Центральный Федеральный Округ,0178,область,RU-YAR,РОФ-ЯРО,г Ярославль,76
Забайкальский край,Забайкальский кр.,Дальневосточный Федеральный Округ,0776,край,RU-ZAB,РОФ-ЗАБ,г Чита,75  80
Ненецкий автономный округ (Архангельская область),Ненецкий АО,Северо-Западный Федеральный Округ,0211100,автономный округ,RU-NEN,-      ,г Нарьян-Мар,83
